,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Laguna,1,US,1591111708,60,38.42,-121.42,73.0,5.48
1,Adrar,96,MR,1591111709,15,20.5,-10.07,103.5,2.04
2,La Ronge,75,CA,1591111593,51,55.1,-105.28,59.0,13.87
3,Mahébourg,75,MU,1591111711,94,-20.41,57.7,71.6,12.75
4,Busselton,0,AU,1591111713,71,-33.65,115.33,52.0,6.11
5,Hermanus,100,ZA,1591111714,83,-34.42,19.23,63.0,13.53
6,Kapaa,72,US,1591111715,59,22.08,-159.32,72.0,6.55
7,Khatanga,99,RU,1591111716,49,71.97,102.5,53.29,10.42
8,Rikitea,100,PF,1591111718,76,-23.12,-134.97,75.81,1.41
9,Qaanaaq,94,GL,1591111719,92,77.48,-69.36,28.62,2.13
10,Paamiut,100,GL,1591111720,96,61.99,-49.67,39.94,4.59
11,Vaini,20,TO,1591111721,88,-21.2,-175.2,77.0,6.93
12,Ushuaia,75,AR,1591111722,84,-54.8,-68.3,39.2,31.09
13,Hilo,20,US,1591111457,83,19.73,-155.09,71.6,4.7
14,Gangarampur,0,IN,1591111725,38,25.4,88.52,90.37,5.59
15,Mataura,92,NZ,1591111726,84,-46.19,168.86,46.06,4.23
16,Kingsville,75,US,1591111727,78,27.52,-97.86,82.4,6.93
17,Albany,100,US,1591111720,70,42.6,-73.97,60.01,1.45
18,Sulangan,80,PH,1591111730,65,11.14,123.72,85.93,6.93
19,Geraldton,40,AU,1591111731,42,-28.77,114.6,66.2,12.75
20,Port Alfred,90,ZA,1591111732,78,-33.59,26.89,66.0,4.0
21,Chui,20,UY,1591111734,68,-33.7,-53.46,57.06,6.2
22,Ostrovnoy,83,RU,1591111735,63,68.05,39.51,59.47,9.37
23,George Town,20,MY,1591111681,83,5.41,100.34,84.2,1.79
24,Āsosa,71,ET,1591111738,73,10.07,34.53,75.9,3.0
25,Ahipara,100,NZ,1591111739,86,-35.17,173.17,54.99,5.28
26,Shimoda,86,JP,1591111740,85,34.67,138.95,66.99,1.99
27,Punta Arenas,40,CL,1591111741,65,-53.15,-70.92,41.0,23.04
28,Tuatapere,100,NZ,1591111743,87,-46.13,167.68,50.68,6.35
29,Souillac,75,MU,1591111744,94,-20.52,57.52,71.6,12.75
30,Barentu,84,ER,1591111745,17,15.11,37.59,96.62,7.9
31,Atuona,3,PF,1591111746,73,-9.8,-139.03,80.13,11.9
32,Bredasdorp,100,ZA,1591111748,27,-34.53,20.04,64.4,2.24
33,Walla Walla,1,US,1591111749,41,46.06,-118.34,63.0,1.88
34,Hithadhoo,100,MV,1591111750,68,-0.6,73.08,84.88,6.76
35,New Norfolk,66,AU,1591111751,71,-42.78,147.06,48.99,3.0
36,Bluff,89,NZ,1591111752,81,-46.6,168.33,51.4,12.26
37,Vitim,19,RU,1591111754,51,59.45,112.56,53.96,3.33
38,Vicuña,0,CL,1591111755,33,-30.03,-70.71,66.99,4.43
39,Campos dos Goytacazes,0,BR,1591111556,47,-21.75,-41.3,80.6,11.41
40,Ulaanbaatar,95,MN,1591111757,48,47.91,106.88,39.2,2.24
41,Fare,100,PF,1591111759,76,-16.7,-151.02,80.58,12.97
42,Arraial do Cabo,0,BR,1591111760,73,-22.97,-42.03,77.0,6.93
43,Opuwo,0,NA,1591111761,18,-18.06,13.84,81.63,10.2
44,Dikson,0,RU,1591111762,97,73.51,80.55,32.07,7.31
45,Puerto Ayora,40,EC,1591111763,78,-0.74,-90.35,77.0,9.17
46,Saint-François,46,FR,1591111765,30,46.42,3.91,82.4,3.36
47,Agia Marina,0,GR,1591111766,64,37.75,23.53,72.0,10.0
48,Cape Town,20,ZA,1591111513,82,-33.93,18.42,64.99,11.41
49,Tuktoyaktuk,20,CA,1591111769,91,69.45,-133.04,32.0,9.17
50,Ambilobe,0,MG,1591111770,78,-13.2,49.05,74.61,0.85
51,East London,100,ZA,1591111656,45,-33.02,27.91,82.4,2.24
52,Faanui,100,PF,1591111772,77,-16.48,-151.75,79.77,12.97
53,Eureka,0,US,1591111603,9,40.8,-124.16,59.0,2.28
54,Salalah,20,OM,1591111775,84,17.02,54.09,86.0,8.05
55,Hofn,0,IS,1591111776,62,64.25,-15.21,49.46,7.63
56,Barrow,90,US,1591111777,92,71.29,-156.79,28.4,21.92
57,Airai,31,TL,1591111778,100,-8.93,125.41,57.2,4.45
58,Saint Paul Harbor,90,US,1591111779,87,57.79,-152.41,48.2,12.75
59,Kamenka,46,RU,1591111780,60,51.32,42.77,72.0,5.01
60,Uspenskaya,50,RU,1591111782,69,45.76,41.07,73.0,5.1
61,Susanville,1,US,1591111783,51,40.42,-120.65,64.0,3.33
62,Liverpool,25,GB,1591111784,40,53.41,-2.98,73.99,14.99
63,Hobart,90,AU,1591111732,61,-42.88,147.33,50.0,16.11
64,Fortuna,1,US,1591111787,93,40.6,-124.16,59.0,3.36
65,Soto la Marina,0,MX,1591111788,78,23.77,-98.22,82.99,7.0
66,Faya,40,SA,1591111791,12,18.39,42.45,86.0,11.41
67,Camargo,0,MX,1591111792,41,27.67,-105.17,79.18,9.69
68,Bridlington,93,GB,1591111793,45,54.08,-0.19,68.0,12.75
69,Vanderbijlpark,0,ZA,1591111795,42,-26.71,27.84,69.01,1.39
70,Weinan,62,CN,1591111583,77,34.5,109.51,75.99,4.47
71,San Cristobal,40,VE,1591111797,55,7.77,-72.22,87.8,2.24
72,Macia,0,MZ,1591111799,64,-25.03,33.1,70.34,7.27
73,Manbij,75,SY,1591111800,36,36.53,37.95,77.0,8.05
74,Rivera,1,UY,1591111802,66,-30.91,-55.55,55.92,4.81
75,Verāval,99,IN,1591111803,77,20.9,70.37,84.33,3.2
76,Jamestown,90,US,1591111804,76,42.1,-79.24,57.0,16.11
77,Asău,81,RO,1591111805,42,46.43,26.4,64.4,2.24
78,Butaritari,43,KI,1591111807,77,3.07,172.79,82.27,7.85
79,Cabo San Lucas,5,MX,1591111647,83,22.89,-109.91,77.0,4.7
80,Olafsvik,69,IS,1591111809,87,64.89,-23.71,47.44,12.46
81,Pevek,6,RU,1591111810,87,69.7,170.31,35.06,5.93
82,Hamilton,1,US,1591111530,44,39.18,-84.53,80.01,9.17
83,Bac Lieu,100,VN,1591111813,78,9.29,105.72,82.56,2.44
84,Narsaq,75,GL,1591111814,71,60.92,-46.05,50.0,3.36
85,Verkhnevilyuysk,64,RU,1591111815,47,63.45,120.32,52.07,2.89
86,Bonthe,100,SL,1591111816,75,7.53,-12.51,84.34,8.88
87,Yellowknife,75,CA,1591111817,80,62.46,-114.35,39.2,13.87
88,Castro,96,BR,1591111819,87,-24.79,-50.01,61.57,4.21
89,Banda Aceh,97,ID,1591111820,77,5.56,95.32,81.27,1.05
90,Fengzhen,0,CN,1591111821,28,40.44,113.15,64.11,12.08
91,Chapais,1,CA,1591111822,43,49.78,-74.85,55.4,3.36
92,Pangnirtung,75,CA,1591111823,86,66.15,-65.71,33.8,12.75
93,Byron Bay,0,AU,1591111825,54,-28.65,153.62,53.6,13.87
94,Codrington,98,AU,1591111826,68,-38.27,141.97,51.57,18.1
95,Iqaluit,75,CA,1591111827,80,63.75,-68.51,35.6,2.24
96,Bogovarovo,49,RU,1591111828,73,58.98,47.02,54.07,3.47
97,Norman Wells,90,CA,1591111829,68,65.28,-126.83,44.6,5.82
98,Caibarién,75,CU,1591111830,83,22.52,-79.47,84.2,9.17
99,Tuy Hoa,95,VN,1591111631,86,13.08,109.3,79.79,6.15
100,Ribeira Grande,75,PT,1591111833,72,38.52,-28.7,64.4,17.22
101,Saldanha,100,ZA,1591111834,77,-33.01,17.94,64.4,5.3
102,Port Elizabeth,97,ZA,1591111756,56,-33.92,25.57,69.8,13.87
103,Safford,1,US,1591111836,28,32.83,-109.71,82.4,3.36
104,Meadow Lake,75,US,1591111838,63,34.8,-106.54,69.01,4.74
105,Kavieng,93,PG,1591111839,76,-2.57,150.8,82.85,6.15
106,Avarua,45,CK,1591111840,73,-21.21,-159.78,73.4,3.36
107,Carnarvon,0,AU,1591111841,59,-24.87,113.63,71.65,5.82
108,Portland,75,US,1591111675,76,45.52,-122.68,57.99,3.24
109,Kassala,37,SD,1591111844,13,15.45,36.4,103.44,6.69
110,Saurimo,75,AO,1591111845,43,-9.66,20.39,87.8,5.82
111,Taloqan,3,AF,1591111846,24,36.74,69.53,78.48,5.23
112,Caravelas,63,BR,1591111649,71,-17.71,-39.25,79.97,5.44
113,Tasiilaq,75,GL,1591111849,45,65.61,-37.64,46.4,13.87
114,Vigrestad,93,NO,1591111850,59,58.57,5.7,62.01,13.87
115,Kieta,17,PG,1591111851,78,-6.22,155.63,79.59,4.21
116,Vila Velha,10,BR,1591111666,48,-20.33,-40.29,84.2,5.82
117,Nautla,71,MX,1591111854,66,20.22,-96.78,83.7,14.5
118,Coyhaique,20,CL,1591111855,75,-45.58,-72.07,41.0,1.52
119,Kruisfontein,100,ZA,1591111856,74,-34.0,24.73,58.8,3.78
120,Sola,24,VU,1591111857,83,-13.88,167.55,81.59,21.05
121,São Raimundo das Mangabeiras,92,BR,1591111859,62,-7.02,-45.48,84.94,7.74
122,Zaria,56,NG,1591111860,28,11.11,7.72,95.52,2.75
123,Rawson,55,AR,1591111861,79,-43.3,-65.1,49.53,27.92
124,Butler,1,US,1591111862,47,39.45,-84.57,79.0,5.82
125,Upernavik,100,GL,1591111863,96,72.79,-56.15,30.94,7.81
126,Nandu,75,CN,1591111865,84,22.85,110.82,78.49,3.06
127,Praia,67,CV,1591111866,57,14.92,-23.51,80.6,18.34
128,Bījār,48,IR,1591111867,25,35.87,47.61,71.33,16.26
129,Isiro,92,CD,1591111868,71,2.77,27.62,77.94,2.8
130,Te Anau,100,NZ,1591111869,89,-45.42,167.72,52.29,4.56
131,Sandnessjøen,75,NO,1591111871,87,66.02,12.63,57.2,2.24
132,Haukipudas,20,FI,1591111872,59,65.18,25.35,62.6,17.22
133,Kahului,1,US,1591111873,83,20.89,-156.47,73.0,4.25
134,Pasni,0,PK,1591111874,87,25.26,63.47,84.4,2.28
135,Port Lincoln,99,AU,1591111875,82,-34.73,135.87,57.97,7.25
136,Nishihara,20,JP,1591111877,83,26.18,127.76,80.6,11.41
137,Hay River,40,CA,1591111852,76,60.82,-115.8,50.0,2.24
138,Beira,40,MZ,1591111879,73,-19.84,34.84,75.2,10.29
139,Kagoro,70,NG,1591111880,75,9.6,8.38,80.35,2.89
140,Kangasala,37,FI,1591111881,34,61.46,24.08,72.0,4.7
141,Zaranj,0,AF,1591111883,18,30.97,61.88,98.6,9.17
142,Constantine,20,DZ,1591111704,36,36.37,6.61,80.6,12.75
143,Bristol,1,US,1591111885,45,41.83,-71.17,64.99,3.36
144,Tsimmerbude,7,RU,1591111886,58,54.67,20.13,59.0,15.66
145,Key West,20,US,1591111887,66,24.56,-81.78,87.8,14.99
146,Ponta do Sol,40,PT,1591111889,83,32.67,-17.1,69.8,21.92
147,Edgewater,40,US,1591111847,61,28.99,-80.9,82.4,16.11
148,Bar Harbor,1,US,1591111709,35,44.39,-68.2,57.0,6.93
149,Berlevåg,96,NO,1591111892,81,70.86,29.09,50.0,12.75
150,Hong Kong,98,HK,1591111777,82,22.29,114.16,84.0,3.0
151,Kaitangata,33,NZ,1591111895,59,-46.28,169.85,53.01,4.0
152,Bulgan,100,MN,1591111896,48,48.81,103.53,48.99,1.9
153,Omboué,100,GA,1591111897,80,-1.57,9.26,79.32,7.9
154,Shache,1,CN,1591111898,18,38.42,77.24,76.55,5.08
155,Itaituba,40,BR,1591111747,78,-4.28,-55.98,82.4,5.82
156,Ocampo,0,MX,1591111901,48,21.65,-101.5,67.84,5.64
157,Ilulissat,75,GL,1591111902,86,69.22,-51.1,41.0,8.05
158,Lebu,22,CL,1591111903,75,-37.62,-73.65,55.67,0.78
159,Klaksvík,79,FO,1591111905,66,62.23,-6.59,51.8,14.99
160,Majene,100,ID,1591111906,86,-3.54,118.97,79.56,12.97
161,Biskamzha,0,RU,1591111907,86,53.45,89.53,51.85,8.57
162,Waingapu,54,ID,1591111908,84,-9.66,120.26,77.11,11.05
163,Gogrial,100,SS,1591111909,29,8.53,28.1,95.72,4.72
164,Mar del Plata,0,AR,1591111911,76,-38.0,-57.56,55.0,21.92
165,Nur-Sultan,0,KZ,1591111749,41,51.18,71.45,75.2,4.47
166,Sioux Lookout,20,CA,1591111913,56,50.1,-91.92,69.8,12.75
167,Longyearbyen,75,SJ,1591111914,86,78.22,15.64,37.4,13.87
168,Mudgere,100,IN,1591111916,97,13.13,75.63,67.51,9.42
169,Makakilo City,1,US,1591111917,94,21.35,-158.09,75.2,6.04
170,Chokurdakh,99,RU,1591111918,82,70.63,147.92,35.96,9.37
171,Tirano,59,IT,1591111919,30,46.22,10.17,64.0,3.0
172,Olovyannaya,100,RU,1591111921,79,50.95,115.57,49.86,15.05
173,Nouakchott,30,MR,1591111743,57,18.09,-15.98,80.6,17.22
174,Nikolskoye,1,RU,1591111923,36,59.7,30.79,62.6,11.18
175,Katsuura,97,JP,1591111924,84,35.13,140.3,73.0,5.99
176,Talnakh,75,RU,1591111926,87,69.49,88.4,44.6,11.18
177,Itupiranga,40,BR,1591111927,70,-5.13,-49.33,87.8,3.36
178,Tiznit Province,0,MA,1591111928,34,29.58,-9.5,80.89,9.84
179,Lompoc,90,US,1591111882,87,34.64,-120.46,57.99,5.3
180,São Filipe,3,CV,1591111931,75,14.9,-24.5,75.34,7.67
181,Aklavik,90,CA,1591111932,64,68.22,-135.01,32.0,10.29
182,Saint-Philippe,62,RE,1591111933,73,-21.36,55.77,71.6,13.87
183,Northport,1,US,1591111781,69,33.23,-87.58,84.0,8.05
184,Tilichiki,100,RU,1591111935,94,60.47,166.1,35.15,0.92
185,Woodland,1,US,1591111843,73,38.68,-121.77,73.0,8.43
186,Barra dos Coqueiros,40,BR,1591111707,70,-10.91,-37.04,84.2,6.93
187,Wisła,49,PL,1591111939,65,49.66,18.86,57.0,9.48
188,Nouadhibou,18,MR,1591111940,64,20.93,-17.03,75.2,18.34
189,Lata,75,PT,1591111942,68,40.16,-8.33,73.99,9.17
190,Bima,100,ID,1591111943,89,-8.47,118.72,74.7,3.36
191,Provideniya,0,RU,1591111944,64,64.38,-173.3,43.61,1.68
192,Quatre Cocos,75,MU,1591111945,94,-20.21,57.76,71.6,12.75
193,Esperance,95,AU,1591111946,81,-33.87,121.9,53.6,9.17
194,Redmond,100,US,1591111909,87,47.67,-122.12,55.99,2.89
195,Moussoro,40,TD,1591111949,10,13.64,16.49,108.27,9.44
196,‘Āhuimanu,75,US,1591111950,62,21.44,-157.84,84.2,7.85
197,San Quintín,100,MX,1591111951,67,30.48,-115.95,69.46,4.99
198,Severo-Kuril'sk,99,RU,1591111953,86,50.68,156.12,42.37,8.34
199,Locri,20,IT,1591111954,29,38.24,16.26,75.2,17.22
200,Richards Bay,0,ZA,1591111955,73,-28.78,32.04,71.29,11.7
201,Itarema,27,BR,1591111956,72,-2.92,-39.92,84.81,11.14
202,Ayan,100,RU,1591111958,90,56.45,138.17,38.17,9.19
203,Mindelo,20,CV,1591111959,57,16.89,-24.98,78.8,8.05
204,Port Hardy,90,CA,1591111958,87,50.7,-127.42,50.0,12.75
205,Bonavista,100,CA,1591111961,84,48.65,-53.11,45.0,8.99
206,Mayumba,100,GA,1591111962,86,-3.43,10.66,77.58,4.38
207,Elesbão Veloso,78,BR,1591111964,74,-6.2,-42.14,83.73,4.59
208,Erzin,34,TR,1591111965,65,36.96,36.2,75.0,18.01
209,Hasaki,75,JP,1591111966,100,35.73,140.83,70.0,4.7
210,Zhongshu,0,CN,1591111967,87,24.52,103.77,63.66,2.73
211,Leningradskiy,1,RU,1591111969,86,69.38,178.42,37.17,0.89
212,Tiksi,12,RU,1591111970,90,71.69,128.87,33.39,4.7
213,Thompson,90,CA,1591111847,93,55.74,-97.86,42.8,2.24
214,Kaka,0,TM,1591111972,10,37.35,59.61,94.32,8.86
215,Lagunillas,45,VE,1591111973,72,10.13,-71.26,85.73,7.07
216,Knysna,100,ZA,1591111975,87,-34.04,23.05,60.8,4.7
217,Kisangani,87,CD,1591111976,66,0.52,25.2,81.75,0.69
218,Saint-Pierre,6,RE,1591111790,73,-21.34,55.48,71.6,13.87
219,Atar,100,MR,1591111979,15,20.52,-13.05,103.55,10.76
220,Mumford,92,GH,1591111980,78,5.26,-0.76,82.22,13.96
221,Yuza,92,JP,1591111981,81,39.0,139.92,60.46,2.57
222,Bethanien,60,NA,1591111983,19,-26.5,17.16,74.39,8.34
223,Sørland,75,NO,1591111984,81,67.67,12.69,48.2,10.29
224,Bengkulu,76,ID,1591111985,90,-3.8,102.27,77.88,4.65
225,Terra Santa,50,BR,1591111987,67,-2.1,-56.49,87.03,4.88
226,Philadelphia,90,US,1591111815,52,39.95,-75.16,71.01,9.17
227,Kokopo,67,PG,1591111989,87,-4.35,152.26,77.58,5.86
228,Novo Aripuanã,89,BR,1591111991,78,-5.12,-60.38,84.74,0.65
229,Mosquera,75,CO,1591111780,55,4.71,-74.23,64.4,6.93
230,Anito,19,PH,1591111993,79,12.45,125.29,79.34,4.32
231,Saskylakh,22,RU,1591111994,70,71.92,114.08,40.1,9.62
232,Zhangye,76,CN,1591111995,28,38.93,100.45,68.61,4.47
233,Valleyview,52,CA,1591111997,47,55.07,-117.29,58.57,12.01
234,Eyl,100,SO,1591111881,61,7.98,49.82,86.79,23.13
235,Sistranda,75,NO,1591111999,76,63.73,8.83,55.4,11.41
236,Barcelos,33,PT,1591112000,73,41.54,-8.62,79.0,6.93
237,San Antonio,75,US,1591112002,88,29.42,-98.49,78.01,3.36
238,Naryan-Mar,86,RU,1591112003,46,67.67,53.09,51.31,5.93
239,Sangar,11,RU,1591112004,77,63.92,127.47,48.0,5.3
240,Mount Isa,26,AU,1591112005,26,-20.73,139.5,59.0,10.29
241,Versailles,51,FR,1591112007,26,48.8,2.13,86.0,4.7
242,Constitución,100,CL,1591112008,64,-35.33,-72.42,56.62,4.03
243,Stornoway,75,GB,1591112009,87,58.21,-6.39,53.6,14.99
244,Aksarka,96,RU,1591112010,71,66.56,67.8,39.74,12.21
245,Naze,75,JP,1591112011,100,28.37,129.48,75.2,4.7
246,St. George's,40,GD,1591112013,66,12.06,-61.75,86.0,23.04
247,São Félix do Xingu,100,BR,1591112014,60,-6.64,-51.99,86.22,3.67
248,Lüderitz,98,NA,1591112015,63,-26.65,15.16,66.2,8.05
249,Cabedelo,40,BR,1591112016,66,-6.98,-34.83,86.0,6.93
250,Coquimbo,90,CL,1591112018,93,-29.95,-71.34,53.6,5.82
251,Shingū,66,JP,1591112019,84,33.73,135.98,65.03,6.49
252,Jaqué,72,PA,1591112020,74,7.52,-78.17,83.61,7.18
253,Santoña,100,ES,1591112021,78,43.44,-3.46,71.6,5.82
254,Bokoro,7,TD,1591112023,12,12.38,17.06,107.46,4.76
255,Cherskiy,99,RU,1591112024,67,68.75,161.3,46.54,6.17
256,Santa Maria,40,BR,1591111819,71,-29.68,-53.81,53.6,2.24
257,Teteven,75,BG,1591112026,72,42.92,24.27,64.4,2.24
258,Tiarei,100,PF,1591112028,78,-17.53,-149.33,77.0,1.12
259,Mafinga,99,TZ,1591112029,43,-7.25,35.07,74.73,6.06
260,Srednekolymsk,100,RU,1591112030,67,67.45,153.68,44.55,10.89
261,Marsh Harbour,75,BS,1591112032,78,26.54,-77.06,78.22,23.49
262,Karabanovo,99,RU,1591112033,90,56.32,38.7,48.61,11.1
263,Hearst,100,CA,1591112034,89,49.68,-83.67,58.89,2.57
264,Kadhan,19,PK,1591112036,71,24.48,68.99,85.37,14.38
265,Hongjiang,100,CN,1591112037,89,27.11,110.0,73.36,3.4
266,Kalmunai,58,LK,1591112038,77,7.42,81.82,84.02,2.04
267,Turukhansk,97,RU,1591112039,52,65.82,87.98,48.45,7.0
268,Luanda,20,AO,1591112040,78,-8.84,13.23,80.6,9.17
269,Port Hedland,99,AU,1591112042,37,-20.32,118.57,69.8,8.05
270,Chāndil,47,IN,1591112043,70,22.97,86.05,81.61,3.47
271,Arrondissement d'Ajaccio,100,FR,1591112044,57,42.0,8.92,75.2,9.17
272,Almenara,74,BR,1591112045,57,-16.18,-40.69,83.7,3.65
273,Glenluce,96,GB,1591112047,69,54.88,-4.81,62.01,3.0
274,Cidreira,75,BR,1591112008,72,-30.18,-50.21,56.44,12.59
275,Taldan,21,RU,1591112049,93,53.67,124.8,41.56,4.54
276,Egvekinot,0,RU,1591112050,73,66.32,-179.17,40.48,0.18
277,Taoudenni,35,ML,1591112052,12,22.68,-3.98,111.09,12.33
278,Saint George,1,US,1591111798,14,37.1,-113.58,77.0,3.36
279,Panguna,16,PG,1591112054,99,-6.32,155.48,68.54,1.63
